0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:27 +0400] "GET /petclinic/components/dashboard/dashboard.html HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:27 +0400] "GET /petclinic/components/dashboard/_welcome.html HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:27 +0400] "GET /petclinic/components/dashboard/_owners.html HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:27 +0400] "GET /petclinic/components/dashboard/_pets.html HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:27 +0400] "GET /petclinic/components/dashboard/_vets.html HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/pets/pet1.jpg HTTP/1.1" 200 19218
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/pets/pet2.jpg HTTP/1.1" 200 25187
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/avatars/owner3.jpg HTTP/1.1" 200 5631
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/avatars/owner2.jpg HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/avatars/owner1.jpg HTTP/1.1" 200 6336
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/avatars/owner4.jpg HTTP/1.1" 200 4954
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/pets/pet3.jpg HTTP/1.1" 200 32013
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/avatars/owner5.jpg HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/pets/pet4.jpg HTTP/1.1" 200 29626
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/pets/pet5.jpg HTTP/1.1" 200 30886
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/avatars/owner7.jpg HTTP/1.1" 200 5610
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/pets/pet7.jpg HTTP/1.1" 200 31292
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/avatars/owner6.jpg HTTP/1.1" 200 4283
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/pets/pet6.jpg HTTP/1.1" 200 33783
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/avatars/owner8.jpg HTTP/1.1" 200 7066
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:29 +0400] "GET /petclinic/images/pets/pet8.jpg HTTP/1.1" 200 28731
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/jscoverage.html?index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/jscoverage-throbber.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/jscoverage-highlight.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/jscoverage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/jscoverage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/plugins/bootstrap-datepicker/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/plugins/jquery/jquery-2.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/js/lib/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/js/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/js/lib/angular-resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/js/lib/angular-ui-router.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/js/lib/angular-ui-router-statehelper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/js/lib/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/plugins/bootstrap-datepicker/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/js/lib/angular-mocks.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/services/services.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/js/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/components/main/MainController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/components/veterinarians/VeterinarianController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/js/lib/angular-storage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/components/visits/VisitController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/components/pets/PetController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/components/owners/OwnerController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/components/dashboard/DashboardController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:32 +0400] "GET /petclinic/components/_partials/SearchController.js HTTP/1.1" 304 -
